Period,Pris
2020-02-10,48197
2020-02-17,48448
2020-02-24,50216
2020-03-02,51783
2020-03-09,52124
2020-03-16,54199
2020-03-23,53088
2020-03-30,53046
2020-04-06,50954
2020-04-13,47599
2020-04-20,54282
2020-04-27,49343
2020-05-04,53340
2020-05-11,51407
2020-05-18,51150
2020-05-25,52182
2020-06-01,54629
2020-06-08,48867
2020-06-15,48150
2020-06-22,47667
2020-06-29,43307
2020-07-06,45898
2020-07-13,44843
2020-07-20,46750
2020-07-27,46809
2020-08-03,49525
2020-08-10,52272
2020-08-17,54096
2020-08-24,54101
2020-08-31,53955
2020-09-07,53681
2020-09-14,52844
2020-09-21,57449
2020-09-28,53838
2020-10-05,53121
2020-10-12,54625
2020-10-19,53210
2020-10-26,56048
2020-11-02,55426
2020-11-09,55130
2020-11-16,53773
2020-11-23,54621
2020-11-30,52792
2020-12-07,53870
2020-12-14,47629
2020-12-21,46934
2020-12-28,46325
2021-01-04,49234
2021-01-11,53874
2021-01-18,51738
2021-01-25,51539
2021-02-01,56118
2021-02-08,54727
2021-02-15,53964
2021-02-22,53504
2021-03-01,54942
2021-03-08,59564
2021-03-15,54002
2021-03-22,51185
2021-03-29,53115
2021-04-05,55542
2021-04-12,55018
2021-04-19,56159
2021-04-26,55998
2021-05-03,54334
2021-05-10,56376
2021-05-17,56947
2021-05-24,57387
2021-05-31,55437
2021-06-07,56648
2021-06-14,54173
2021-06-21,46512
2021-06-28,46027
2021-07-05,42507
2021-07-12,46893
2021-07-19,41325
2021-07-26,49213
2021-08-02,52437
2021-08-09,54478
2021-08-16,55253
2021-08-23,56840
2021-08-30,55685
2021-09-06,55595
2021-09-13,57157
2021-09-20,57709
2021-09-27,54444
2021-10-04,55494
2021-10-11,54004
2021-10-18,53629
2021-10-25,55701
2021-11-01,58002
2021-11-08,56654
2021-11-15,56708
2021-11-22,55281
2021-11-29,54656
2021-12-06,50128
2021-12-13,49896
2021-12-20,45550
2021-12-27,43884
2022-01-03,54994
